Date,Portfolio,Benchmark
2022-01-06,1.3318273565045056,1.6102153639243415
2022-01-07,1.3148622534678658,1.6053557161810537
2022-01-10,1.3101360172674044,1.5992233864458572
2022-01-11,1.3224729717419264,1.6141003230737123
2022-01-12,1.3286179800666122,1.616221535342364
2022-01-13,1.3112859706030269,1.6054265742840512
2022-01-14,1.29397494501666,1.6024516378383271
2022-01-18,1.2765880648032057,1.5752000353046938
2022-01-19,1.2678277193628007,1.5591984417767917
2022-01-20,1.252802465921458,1.5407720752810754
2022-01-21,1.240886952905608,1.5171271048317758
2022-01-24,1.254959925921823,1.5287798282566314
2022-01-25,1.2338073414637043,1.5107243785522741
2022-01-26,1.2237647510478593,1.500353495722814
2022-01-27,1.2171465904630476,1.491680064514575
2022-01-28,1.2491751777128122,1.520657578956661
2022-01-31,1.2774480146777718,1.5486396069628319
2022-02-01,1.27918320424229,1.5599647431314894
2022-02-02,1.2982506754805565,1.5713059549231987
2022-02-03,1.276435056479466,1.546285759284334
2022-02-04,1.268989602857574,1.5455555050936363
2022-02-07,1.2613211408002172,1.546309768961217
2022-02-08,1.2683935447352843,1.5592630980116151
2022-02-09,1.294677566615217,1.5865974071318736
2022-02-10,1.2677084710933988,1.5612724576568195
2022-02-11,1.2477880947506663,1.539827671842697
2022-02-14,1.2398460736904076,1.5280956702679902
2022-02-15,1.2522038170299707,1.5521733619818023
2022-02-16,1.2550056163870804,1.5559889819104136
2022-02-17,1.2369512188978355,1.5268953782581718
2022-02-18,1.2351719883361347,1.5198156535128753
2022-02-22,1.2259251414736,1.5047007256670752
2022-02-23,1.2092782923381984,1.4795534578106242
2022-02-24,1.22525247739029,1.4981751792528184
2022-02-25,1.2590472821848564,1.5385044106335248
2022-02-28,1.2474243690314788,1.5308678833115061
2022-03-01,1.2364168852762591,1.5046991646845724
2022-03-02,1.2685358892991732,1.5390917128317978
2022-03-03,1.2718429680108165,1.5331828096309115
2022-03-04,1.2726051411899437,1.5222457684475352
2022-03-07,1.2364320213591187,1.475844642783429
2022-03-08,1.226846914794996,1.46672543898444
2022-03-09,1.2591375227724901,1.5024084187876765
2022-03-10,1.249766680285636,1.4983389277261845
2022-03-11,1.2387796318462045,1.4820348617173857
2022-03-14,1.236202326337126,1.4737784893846273
2022-03-15,1.2632399500400353,1.4997905788411798
2022-03-16,1.287435298879756,1.5333145860190889
2022-03-17,1.3027555965970647,1.5537641419727133
2022-03-18,1.3140337317001358,1.5689126532839006
2022-03-21,1.3097026516721808,1.56554898703027
2022-03-22,1.3194792743280659,1.5779466721523145
2022-03-23,1.3030713848718034,1.5567021027359018
2022-03-24,1.3157268886582216,1.5756047228148935
2022-03-25,1.3239040681046785,1.585526041677544
2022-03-28,1.3356857449481614,1.5907751143058397
2022-03-29,1.365478083514736,1.616032821403997
2022-03-30,1.3586164609772358,1.604720541997325
2022-03-31,1.340512875725708,1.5830621423285665
2022-04-01,1.3514830160604723,1.5899277797741491
2022-04-04,1.344153168213901,1.592974951318644
2022-04-05,1.3402386916418416,1.5755686478020532
2022-04-06,1.3525891110121793,1.5668757966977056
2022-04-07,1.3609632288438294,1.5722467121362043
2022-04-08,1.3674427166584078,1.5746713573143725
